Neighborhood,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,med rent
"Taylors Creek at The Neuse, Raleigh, NC",0.042,11,2.9 people,1.8,2.4,5,29.9 years,32.8 years,"$40,893",23.9%,53.7%,14.1%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,20.0%,18.5%,73.1%,$787
"Tazwell Place, Raleigh, NC",0.005,10,1.8 people,1.1,2.0,5,55.6 years,49.1 years,"$77,708",38.2%,56.0%,51.1%,23.1%,5.5%,40.9%,0.3%,18.4%,18.5%,0.0%,7.8%,65.4%,$789
"Temple Street, Raleigh, NC",0.006,4,1.7 people,1.2,2.0,2,44.7 years,43.6 years,"$50,573",58.9%,36.7%,24.4%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,47.1%,81.5%,$762
"Tennyson Place, Raleigh, NC",0.017,48,2.1 people,1.2,2.3,22,41.7 years,43.2 years,"$70,521",46.2%,43.3%,34.9%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,13.3%,69.9%,$843
"The Bluffs, Raleigh, NC",0.039,53,2.8 people,3.0,2.4,27,50.4 years,42.0 years,"$96,652",36.9%,58.2%,24.4%,62.7%,4.3%,71.6%,0.6%,9.9%,13.5%,2.1%,13.1%,68.3%,"$1,150"
"The Cascades, Raleigh, NC",0.018000000000000002,69,2.6 people,2.0,1.8,36,46.2 years,39.1 years,"$70,461",46.3%,49.2%,35.3%,50.6%,2.7%,61.5%,1.8%,9.6%,14.3%,0.0%,3.5%,74.2%,"$1,186"
"The Commons at Sandy Forks, Raleigh, NC",0.002,2,1.6 people,0.8,1.6,1,54.9 years,36.9 years,"$81,406",42.6%,43.0%,30.6%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.9%,57.4%,$751
"The Glen at Spring Forest, Raleigh, NC",0.013,18,2.5 people,1.8,2.2,9,37.5 years,32.9 years,"$74,803",34.4%,38.8%,41.4%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,6.3%,20.6%,90.6%,$928
"The Hamptons at Umstead, Raleigh, NC",0.273,69,25.0 people,1.7,1.7,42,30.7 years,30.5 years,"$55,048",48.6%,38.9%,41.0%,37.6%,11.4%,30.4%,1.1%,13.1%,39.2%,0.0%,89.7%,96.2%,$852
"The Oberlin, Raleigh, NC",0.004,13,2.5 people,1.5,2.2,6,38.2 years,36.3 years,"$112,273",36.5%,59.7%,42.3%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.1%,61.6%,"$1,027"
"The Overlook, Raleigh, NC",0.006,5,1.7 people,1.2,2.0,2,44.7 years,43.6 years,"$50,573",58.9%,36.7%,20.8%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,40.2%,81.5%,$762
"The Pines, Raleigh, NC",0.012,7,2.3 people,1.7,1.8,3,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.2%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.2%,86.6%,$895
"The Pines, Raleigh, NC",0.012,7,2.3 people,1.7,1.8,3,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.2%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.2%,86.6%,$895
"The Reserve At Umstead, Raleigh, NC",0.042,32,2.1 people,1.5,2.1,17,30.9 years,28.7 years,"$62,857",44.5%,42.4%,38.2%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.3%,75.6%,$905
"The Sanctuary, Raleigh, NC",0.021,19,2.6 people,1.2,2.1,8,42.3 years,44.4 years,"$110,083",53.2%,39.1%,34.0%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.4%,78.6%,"$1,031"
"The Villas at Millbrook, Raleigh, NC",0.004,14,2.2 people,1.4,1.9,5,37.9 years,42.5 years,"$60,913",42.6%,43.0%,30.5%,47.5%,11.6%,44.0%,2.7%,19.7%,15.9%,0.0%,13.1%,72.0%,$976
"Thistledown, Raleigh, NC",0.012,10,1.7 people,1.6,1.6,5,29.0 years,28.1 years,"$60,271",36.6%,40.3%,39.9%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.3%,86.6%,$888
"Tilden Park, Raleigh, NC",0.004,10,2.6 people,1.6,2.1,4,44.8 years,48.3 years,"$120,583",52.6%,40.0%,39.3%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Townedge Place, Raleigh, NC",0.02,13,28.0 people,2.0,1.7,4,55.2 years,49.4 years,"$90,982",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,215"
"Townes At Umstead Park, Raleigh, NC",0.034,8,21.0 people,1.7,1.7,5,36.7 years,30.7 years,"$65,332",48.6%,38.8%,43.4%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.6%,96.9%,$853
"Townes of Southgate, Raleigh, NC",0.012,4,2.2 people,4.1,1.7,2,52.4 years,41.7 years,"$49,125",22.5%,66.1%,51.9%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,83.8%,85.3%,$678
"Trails Corner, Raleigh, NC",0.014,53,2.8 people,0.8,1.8,28,37.0 years,32.5 years,"$18,021",24.1%,67.3%,9.6%,54.2%,7.9%,22.4%,0.8%,23.2%,32.5%,6.4%,23.1%,46.3%,$565
"Trailside Commons, Raleigh, NC",0.002,2,33.0 people,2.1,2.3,1,23.8 years,25.3 years,"$55,139",36.9%,52.7%,25.1%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.7%,90.9%,"$1,046"
"Trailwood, Raleigh, NC",0.365,330,33.0 people,2.1,2.3,166,23.8 years,25.3 years,"$55,139",36.9%,52.7%,23.9%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,1.2%,7.3%,90.9%,"$1,046"
"Trilliums Place, Raleigh, NC",,5,2.4 people,1.5,1.7,2,34.8 years,41.9 years,"$81,179",38.7%,53.3%,40.0%,42.3%,7.7%,35.2%,0.3%,18.6%,19.6%,0.0%,9.6%,65.8%,$961
"Trinity Square, Raleigh, NC",0.015,11,2.1 people,1.5,2.1,6,30.9 years,28.7 years,"$62,857",44.5%,42.4%,40.5%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.6%,75.6%,$905
"Tryon Place, Raleigh, NC",0.103,10,0.8 people,83.7,30.8,6,14.3 years,12.5 years,"$14,868",22.5%,66.0%,40.5%,34.6%,10.6%,38.0%,0.8%,13.9%,24.4%,0.0%,687.8%,84.1%,$201
"Tryon Place Townhomes, Raleigh, NC",0.011,9,1.7 people,1.6,1.6,4,29.0 years,28.1 years,"$60,271",36.6%,40.3%,40.2%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.4%,86.6%,$888
"Tupper, Raleigh, NC",0.039,8,0.3 people,0.7,1.6,3,3.9 years,3.1 years,"$3,047",28.8%,64.2%,5.5%,36.5%,6.4%,14.4%,0.5%,20.4%,27.4%,0.0%,33.8%,67.5%,$72
"Turners Alley, Raleigh, NC",0.002,7,2.3 people,1.6,1.8,3,31.4 years,33.4 years,"$60,221",38.7%,53.3%,27.5%,40.5%,7.7%,32.2%,0.3%,26.5%,21.5%,0.0%,17.3%,67.3%,$869
"Tuscany Townhomes, Raleigh, NC",0.004,6,1.9 people,0.4,1.7,2,62.8 years,45.3 years,"$51,481",38.7%,47.6%,43.1%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.7%,80.0%,"$2,295"
"Ujamaa, Raleigh, NC",0.015,3,2.5 people,4.1,1.7,2,59.8 years,47.6 years,"$56,107",22.5%,66.1%,53.0%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,85.6%,85.3%,$774
"Ulice Williams, Raleigh, NC",0.004,1,44.5%,3.1%,259.8,2.8 people,49.2%,57.8%,"$51,613",2.5,7.8%,14.7%,5.6%,88.4%,15.5%,1.3,27.1%,64.5%,0.6%,0.0%,2.7%,$704
"Umstead, Raleigh, NC",0.218,10,8.2 people,1.7,1.7,6,14.4 years,12.0 years,"$25,617",48.6%,38.8%,45.0%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.9%,96.9%,$334
"Underwood Farms, Raleigh, NC",0.069,27,2.2 people,4.1,1.7,17,52.4 years,41.7 years,"$49,125",22.5%,66.1%,45.8%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,74.1%,85.3%,$678
"University Suites, Raleigh, NC",0.025,22,33.0 people,2.1,2.3,11,23.8 years,25.3 years,"$55,139",36.9%,52.7%,24.4%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.5%,90.9%,"$1,046"
"Upper Buncombe, Raleigh, NC",0.004,3,2.5 people,1.3,2.5,1,54.2 years,58.1 years,"$208,158",32.7%,62.0%,41.3%,48.8%,3.2%,76.1%,2.2%,9.7%,3.9%,0.0%,2.5%,62.6%,"$1,125"
"Valley Cove, Raleigh, NC",0.014,5,2.3 people,1.1,1.6,2,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.3%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.6%,81.9%,$795
"Valley Crest, Raleigh, NC",0.006,15,25.0 people,1.3,2.0,7,51.2 years,49.2 years,"$68,162",52.6%,40.0%,41.2%,37.6%,6.6%,47.6%,0.7%,13.0%,14.4%,0.0%,6.3%,69.4%,$846
"Valley Estates, Raleigh, NC",0.208,564,2.6 people,1.6,2.1,253,44.8 years,48.3 years,"$120,583",52.6%,40.0%,37.5%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.4%,0.8%,78.7%,$853
"Valley Lake at Greystone, Raleigh, NC",0.042,103,2.2 people,2.0,1.8,54,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.4%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,1.0%,12.8%,76.3%,$740
"Valley Springs, Raleigh, NC",0.013,4,2.8 people,1.3,2.5,2,38.2 years,42.1 years,"$51,613",27.1%,64.5%,37.9%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.8%,88.4%,$704
"Valley Stream, Raleigh, NC",0.116,42,2.3 people,1.1,1.6,18,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.2%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,5.0%,18.5%,81.9%,$795
"Vanguard Park, Raleigh, NC",0.05,243,2.2 people,1.7,2.0,121,39.4 years,35.5 years,"$84,447",38.1%,56.9%,40.0%,59.3%,3.8%,65.3%,1.2%,11.3%,12.6%,0.0%,4.4%,87.6%,$794
"Victoria Park Townhomes, Raleigh, NC",0.002,1,31.8%,17.8%,15.3%,28.0 people,39.2%,31.9%,"$90,982",2.0,1.7,30.6%,16.9%,259.8,14.0%,64.1%,1.4%,36.9%,18.9%,42.8%,6.4%,"$1,215"
"Victoria Place, Raleigh, NC",0.031,126,3.0 people,1.3,2.3,45,28.6 years,38.9 years,"$33,155",25.3%,67.5%,17.2%,56.2%,6.7%,25.7%,0.5%,37.2%,21.1%,1.7%,12.0%,78.2%,$644
"Victory Church, Raleigh, NC",0.066,9,2.2 people,88.6%,1.9,4,37.9 years,38.0 years,"$77,721",0.6%,39.4%,38.6%,50.2%,1.9,56.5%,7.4%,10.0%,12.6%,52.6%,7.8%,"$199,808","$1,159"
"Villa Park, Raleigh, NC",0.022,120,2.5 people,1.7,2.0,59,38.0 years,40.3 years,"$103,438",38.1%,56.9%,39.8%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.5%,89.1%,$798
"Village Gate, Raleigh, NC",0.021,30,1.6 people,0.8,1.6,15,54.9 years,36.9 years,"$81,406",42.6%,43.0%,27.5%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.1%,57.4%,$751
"Village Glenn, Raleigh, NC",0.014,9,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,32.7%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.3%,64.1%,"$1,215"
"Village Grove, Raleigh, NC",0.039,98,2.6 people,1.8,1.9,39,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.7%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Village Lakes, Raleigh, NC",0.18600000000000005,48,2.9 people,1.8,2.4,23,29.9 years,32.8 years,"$40,893",23.9%,53.7%,14.1%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,24.4%,18.5%,73.1%,$787
"Village at New Hope Townhomes, Raleigh, NC",0.014,8,2.3 people,1.7,1.8,3,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.8%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.6%,86.6%,$895
"Village of Oxford Park, Raleigh, NC",0.001,6,2.5 people,1.7,2.0,3,38.0 years,40.3 years,"$103,438",38.1%,56.9%,41.9%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.7%,89.1%,$798
"Village on The Green, Raleigh, NC",0.063,141,2.1 people,1.2,2.2,72,59.9 years,57.1 years,"$99,318",54.2%,39.7%,46.9%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%,$872
"Waco Heights, Raleigh, NC",0.027000000000000003,61,2.5 people,1.0,2.1,29,40.9 years,44.1 years,"$68,036",30.7%,45.0%,27.2%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,1.7%,3.3%,56.1%,$698
"Wake Hills, Raleigh, NC",0.011,36,2.5 people,1.5,2.2,17,38.2 years,36.3 years,"$112,273",36.5%,59.7%,40.3%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.0%,61.6%,"$1,027"
"Washington Heights, Raleigh, NC",0.013,4,1.7 people,0.7,1.6,1,22.6 years,18.0 years,"$17,480",28.8%,64.2%,6.3%,36.5%,6.4%,14.4%,0.5%,20.4%,27.4%,0.0%,38.7%,67.5%,$410
"Watauga Street, Raleigh, NC",0.002,4,2.5 people,1.6,1.7,1,40.5 years,39.8 years,"$50,081",37.6%,55.3%,18.6%,51.0%,5.9%,32.0%,1.2%,8.4%,18.4%,0.0%,12.4%,80.4%,$745
"Waterford Landing, Raleigh, NC",0.096,25,2.9 people,1.8,2.4,12,29.9 years,32.8 years,"$40,893",23.9%,53.7%,14.0%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,26.1%,18.4%,73.1%,$787
"Wayland Heights, Raleigh, NC",0.053,152,2.5 people,9.1,2.4,61,43.0 years,44.2 years,"$145,543",36.5%,59.7%,31.1%,49.5%,3.0%,73.2%,0.8%,3.6%,6.6%,0.0%,0.9%,74.5%,"$1,027"
"Wayne Timberlake Lots, Raleigh, NC",0.004,3,2.6 people,1.2,2.1,1,42.3 years,44.4 years,"$110,083",53.2%,39.1%,39.1%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,6.2%,78.6%,"$1,031"
"Weathersfield Place Towhhomes, Raleigh, NC",0.042,67,2.2 people,1.4,1.8,30,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.6%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Wedges at Greystone, Raleigh, NC",0.057,139,2.2 people,2.0,1.8,73,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.3%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.8%,12.7%,76.3%,$740
"Weldon Ridge, Raleigh, NC",0.053,183,2.5 people,1.5,2.1,98,36.0 years,33.5 years,"$73,332",44.5%,42.4%,37.8%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.2%,75.6%,"$1,056"
"West Lake Townhomes, Raleigh, NC",,8,1.3 people,0.9,1.4,5,34.9 years,43.0 years,"$32,300",48.3%,45.4%,356.2%,6.1%,5.9%,7.8%,0.4%,15.7%,20.3%,0.0%,79.3%,92.2%,$649
"West Oak Townhomes, Raleigh, NC",0.002,14,2.4 people,1.5,1.7,6,34.8 years,41.9 years,"$81,179",38.7%,53.3%,35.7%,42.3%,7.7%,35.2%,0.3%,18.6%,19.6%,0.0%,8.6%,65.8%,$961
"Westborough, Raleigh, NC",0.121,29,21.0 people,1.7,1.7,18,36.7 years,30.7 years,"$65,332",48.6%,38.8%,42.4%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.4%,96.9%,$853
"Westbrook North, Raleigh, NC",0.036000000000000004,98,2.5 people,1.3,2.1,46,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.9%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,6.7%,11.2%,84.7%,$693
"Westchester, Raleigh, NC",0.084,164,1.8 people,1.1,2.0,80,55.6 years,49.1 years,"$77,708",38.2%,56.0%,48.5%,23.1%,5.5%,40.9%,0.3%,18.4%,18.5%,0.0%,7.4%,65.4%,$789
"Westerly, Raleigh, NC",0.01,2,21.0 people,1.7,1.7,1,36.7 years,30.7 years,"$65,332",48.6%,38.8%,51.3%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,9.0%,96.9%,$853
"Westlake, Raleigh, NC",0.28600000000000003,9,0.1 people,1.3,2.1,4,1.4 years,1.5 years,"$2,777",53.2%,39.0%,35.8%,55.3%,7.2%,64.6%,0.5%,8.3%,8.1%,0.0%,5.9%,78.6%,$38
"Westridge, Raleigh, NC",0.061,47,2.1 people,1.5,2.1,25,30.9 years,28.7 years,"$62,857",44.5%,42.4%,37.9%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.3%,75.6%,$905
"Westwood, Raleigh, NC",0.04,98,2.6 people,1.8,1.9,39,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.7%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Wheeler Place, Raleigh, NC",0.04,36,33.0 people,2.1,2.3,18,23.8 years,25.3 years,"$55,139",36.9%,52.7%,24.0%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.3%,90.9%,"$1,046"
"Whitaker Park, Raleigh, NC",0.034,185,2.5 people,1.7,2.0,92,38.0 years,40.3 years,"$103,438",38.1%,56.9%,39.8%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.5%,89.1%,$798
"Whitaker Townes, Raleigh, NC",0.003,10,1.9 people,1.4,1.5,4,47.3 years,38.1 years,"$57,803",38.1%,56.9%,18.2%,39.6%,3.8%,32.8%,1.2%,14.7%,9.9%,0.0%,15.5%,75.6%,$908
"Whitaker Townhomes, Raleigh, NC",0.001,2,1.9 people,1.5,1.6,1,40.6 years,31.7 years,"$69,375",38.1%,56.9%,26.2%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,35.1%,70.9%,$757
"White Oak Forest, Raleigh, NC",0.053,177,2.6 people,1.7,2.2,85,38.8 years,43.5 years,"$142,529",34.7%,60.0%,36.4%,62.5%,3.4%,72.8%,1.8%,10.4%,9.0%,0.0%,1.9%,79.4%,$964
"Whitehurst at Trailwoods, Raleigh, NC",0.005,4,33.0 people,2.1,2.3,2,23.8 years,25.3 years,"$55,139",36.9%,52.7%,25.1%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.7%,90.9%,"$1,046"
"Wildwood, Raleigh, NC",0.406,37,0.2 people,1.2,2.2,15,3.5 years,4.0 years,"$6,848",54.2%,40.7%,22.2%,62.3%,1.7%,52.7%,3.2%,19.8%,6.4%,0.0%,11.3%,81.6%,$74
"Wildwood, Raleigh, NC",0.406,37,0.2 people,1.2,2.2,15,3.5 years,4.0 years,"$6,848",54.2%,40.7%,22.2%,62.3%,1.7%,52.7%,3.2%,19.8%,6.4%,0.0%,11.3%,81.6%,$74
"Williamsborough, Raleigh, NC",0.107,123,2.5 people,1.6,2.2,58,52.3 years,54.9 years,"$105,561",30.1%,65.8%,36.4%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.4%,56.7%,"$1,577"
"Williamstowne Square, Raleigh, NC",0.003,7,1.9 people,1.6,1.9,4,48.3 years,33.3 years,"$91,731",38.7%,53.3%,42.1%,32.9%,7.7%,38.3%,0.3%,11.1%,28.4%,0.0%,11.2%,60.7%,$869
"Willow Creek, Raleigh, NC",0.053,26,3.2 people,2.0,2.2,12,46.0 years,46.2 years,"$93,678",43.5%,45.4%,30.4%,52.5%,9.8%,50.8%,1.3%,21.0%,18.0%,0.0%,7.6%,84.2%,"$1,067"
"Willow Place, Raleigh, NC",0.005,15,2.1 people,1.1,1.4,6,31.8 years,34.6 years,"$44,079",37.6%,55.3%,21.9%,50.3%,5.9%,27.1%,1.2%,22.6%,16.0%,0.0%,26.1%,79.0%,$671
"Willow Pond Minor, Raleigh, NC",0.024,6,21.0 people,1.7,1.7,3,36.7 years,30.7 years,"$65,332",48.6%,38.8%,41.4%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.2%,96.9%,$853
"Willow Ridge, Raleigh, NC",0.006999999999999999,20,2.5 people,1.3,2.1,9,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.7%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,0.0%,11.1%,84.7%,$693
"Willow Run, Raleigh, NC",0.059,160,2.5 people,1.3,2.1,75,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.7%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,7.6%,11.1%,84.7%,$693
"Wilmont, Raleigh, NC",0.183,846,2.4 people,1.8,2.1,401,35.0 years,35.8 years,"$74,911",38.7%,53.3%,29.2%,31.1%,7.7%,27.1%,0.3%,17.6%,31.1%,0.0%,12.3%,61.7%,$940
"Winchester Pointe, Raleigh, NC",0.015,38,2.2 people,2.0,1.8,19,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.2%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.0%,12.7%,76.3%,$740
"Winchester, Raleigh, NC",0.177,64,2.3 people,1.1,1.6,27,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.1%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,8.2%,18.4%,81.9%,$795
"Windsor Park, Raleigh, NC",0.07200000000000001,146,2.4 people,1.6,1.7,63,33.2 years,36.9 years,"$40,338",25.3%,67.5%,4.9%,34.0%,6.7%,31.8%,0.5%,33.4%,18.0%,0.8%,37.1%,76.3%,$827
"Windward Downs, Raleigh, NC",0.024,8,2.3 people,1.1,1.6,3,37.8 years,36.2 years,"$54,200",39.7%,36.8%,27.7%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,20.3%,81.9%,$795
"Winslow Ridge at Sunnybrook, Raleigh, NC",0.021,5,2.9 people,1.8,2.4,2,29.9 years,32.8 years,"$40,893",23.9%,53.7%,15.5%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,20.0%,20.3%,73.1%,$787
"Winston Hills, Raleigh, NC",0.003,5,2.5 people,1.8,2.2,2,37.5 years,32.9 years,"$74,803",34.4%,38.8%,40.6%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,0.0%,20.2%,90.6%,$928
"Winter Park, Raleigh, NC",0.078,28,2.3 people,1.1,1.6,12,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.1%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,4.3%,18.4%,81.9%,$795
"Woodcrest, Raleigh, NC",0.184,484,2.0 people,1.1,1.7,230,35.5 years,38.4 years,"$45,179",36.1%,56.8%,42.9%,30.1%,6.0%,28.4%,1.1%,18.2%,20.3%,5.1%,52.3%,83.6%,$639
"Woodglen, Raleigh, NC",0.01,16,1.9 people,0.4,1.7,7,62.8 years,45.3 years,"$51,481",38.7%,47.6%,40.4%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.3%,80.0%,"$2,295"
"Woodgreen, Raleigh, NC",0.021,28,2.4 people,1.3,2.5,15,29.3 years,32.6 years,"$46,923",39.7%,52.0%,41.8%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,4.0%,1.1%,62.2%,$672
"Woodhaize, Raleigh, NC",0.014,31,2.1 people,1.2,2.2,15,59.9 years,57.1 years,"$99,318",54.2%,39.7%,46.9%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%,$872
"Woodlands, Raleigh, NC",0.033,6,27.3 people,1.5,2.1,2,69.1 years,57.8 years,"$66,849",39.7%,56.8%,49.2%,37.4%,3.4%,44.3%,0.2%,13.9%,16.4%,0.0%,29.3%,64.0%,$603
"Woodrow Park, Raleigh, NC",0.14300000000000002,398,2.6 people,1.6,2.3,177,38.0 years,46.6 years,"$174,306",32.7%,62.0%,36.3%,60.4%,3.2%,73.8%,2.2%,12.0%,8.9%,0.0%,2.8%,77.5%,"$1,125"
"Woods of Saint Albans, Raleigh, NC",0.027000000000000003,40,1.9 people,1.4,1.8,19,42.1 years,43.6 years,"$98,654",46.3%,49.2%,34.8%,39.1%,2.7%,41.1%,1.8%,12.2%,14.5%,0.0%,10.7%,68.9%,"$1,613"
"Woods of Westlake, Raleigh, NC",0.011,10,2.6 people,1.2,2.1,4,42.3 years,44.4 years,"$110,083",53.2%,39.1%,32.9%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%,"$1,031"
"Woodscreek at Southall, Raleigh, NC",0.163,100,2.3 people,1.7,1.8,47,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.8%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,1.1%,18.9%,86.6%,$895
